Date,Tournament,Surface,Best of,Winner,Loser,WRank,LRank,PSW,PSL
29/09/2025,US Open,Hard,5,Jansen D.,Xenos O.,93,222,1.28,4.1
29/09/2025,US Open,Hard,5,Barros X.,Hale C.,18,75,1.28,4.11
29/09/2025,US Open,Hard,5,Mertens O.,Rossi Q.,129,177,1.46,2.93
29/09/2025,US Open,Hard,5,Castell K.,Cerny J.,27,33,1.79,2.14
29/09/2025,US Open,Hard,5,Lindqvist W.,Mertens W.,117,135,2.13,1.8
29/09/2025,US Open,Hard,5,Young X.,Young W.,237,234,2.08,1.84
30/09/2025,US Open,Hard,5,Zeller P.,Mertens O.,240,129,5.56,1.18
30/09/2025,US Open,Hard,5,Rossi Q.,Ostrov G.,177,150,2.18,1.77
30/09/2025,US Open,Hard,5,Varga R.,Tanner N.,210,189,2.27,1.71
30/09/2025,US Open,Hard,5,Cerny J.,Brook T.,33,21,2.42,1.63
30/09/2025,US Open,Hard,5,Holm N.,Laurent Q.,87,108,1.8,2.13
30/09/2025,US Open,Hard,5,Castell H.,Ulrich Z.,24,201,1.01,32.52
30/09/2025,US Open,Hard,5,Ionescu P.,Varga G.,90,207,1.27,4.25
30/09/2025,US Open,Hard,5,Young V.,Hale F.,231,81,10.91,1.07
30/09/2025,US Open,Hard,5,Tanner W.,Xenos I.,195,219,1.55,2.62
30/09/2025,US Open,Hard,5,Gomez U.,Novak Z.,69,147,1.5,2.78
01/10/2025,US Open,Hard,5,Gomez H.,Nadeau A.,63,138,1.54,2.67
01/10/2025,US Open,Hard,5,Nadeau L.,Rossi N.,141,171,1.52,2.74
01/10/2025,US Open,Hard,5,Weiss F.,Hale V.,213,84,4.3,1.26
01/10/2025,US Open,Hard,5,Quist J.,Novak H.,162,144,2.26,1.72
01/10/2025,US Open,Hard,5,Duval N.,Jansen O.,45,96,1.41,3.15
01/10/2025,US Open,Hard,5,Abbott K.,Quist Z.,6,165,1.17,5.99
01/10/2025,US Open,Hard,5,Jansen D.,Xenos O.,93,222,1.12,7.39
01/10/2025,US Open,Hard,5,Tanner Y.,Stahl C.,198,180,2.02,1.89
02/10/2025,US Open,Hard,5,Varga D.,Falk U.,204,60,5.31,1.2
02/10/2025,US Open,Hard,5,Jansen O.,Duval N.,96,45,3.91,1.3
02/10/2025,US Open,Hard,5,Lindqvist D.,Jansen D.,114,93,2.12,1.81
02/10/2025,US Open,Hard,5,Gomez Q.,Ionescu P.,66,90,1.47,2.91
02/10/2025,US Open,Hard,5,Mertens D.,Quist J.,120,162,1.56,2.61
02/10/2025,US Open,Hard,5,Falk N.,Hale C.,57,75,1.83,2.09
02/10/2025,US Open,Hard,5,Pires G.,Cerny J.,153,33,3.49,1.35
02/10/2025,US Open,Hard,5,Hale V.,Stahl C.,84,180,1.39,3.25
03/10/2025,US Open,Hard,5,Jovic F.,Mertens O.,99,129,1.71,2.28
03/10/2025,US Open,Hard,5,Stahl F.,Tanner W.,183,195,1.97,1.94
03/10/2025,US Open,Hard,5,Cerny G.,Tanner Y.,30,198,1.05,14.12
03/10/2025,US Open,Hard,5,Abbott E.,Pires G.,3,153,1.01,32.52
03/10/2025,US Open,Hard,5,Nadeau A.,Lindqvist D.,138,114,2.3,1.69
03/10/2025,US Open,Hard,5,Quist Z.,Abbott K.,165,6,4.1,1.28
03/10/2025,US Open,Hard,5,Falk N.,Rossi P.,57,174,1.14,6.87
03/10/2025,US Open,Hard,5,Arden R.,Hale C.,12,75,1.28,4.11
03/10/2025,US Open,Hard,5,Jansen D.,Xenos I.,93,219,1.11,8.12
04/10/2025,US Open,Hard,5,Laurent Q.,Young V.,108,231,1.28,4.13
04/10/2025,US Open,Hard,5,Arden R.,Tanner N.,12,189,1.06,12.07
04/10/2025,US Open,Hard,5,Quist J.,Zeller P.,162,240,1.14,6.89
04/10/2025,US Open,Hard,5,Stahl C.,Keller A.,180,102,3.42,1.37
04/10/2025,US Open,Hard,5,Falk U.,Pires V.,60,159,1.36,3.47
04/10/2025,US Open,Hard,5,Barros X.,Barros J.,18,15,1.67,2.36
04/10/2025,US Open,Hard,5,Tanner V.,Xenos O.,192,222,1.51,2.75
04/10/2025,US Open,Hard,5,Varga R.,Rossi A.,210,168,2.47,1.61
04/10/2025,US Open,Hard,5,Novak H.,Gomez H.,144,63,2.49,1.6
04/10/2025,US Open,Hard,5,Jansen D.,Tanner Y.,93,198,1.04,15.31
05/10/2025,US Open,Hard,5,Cerny G.,Stahl F.,30,183,1.1,8.87
05/10/2025,US Open,Hard,5,Dorn F.,Castell H.,39,24,2.57,1.57
05/10/2025,US Open,Hard,5,Hale E.,Pires V.,78,159,1.26,4.32
05/10/2025,US Open,Hard,5,Novak Z.,Ulrich Z.,147,201,1.52,2.73
05/10/2025,US Open,Hard,5,Lindqvist D.,Gomez U.,114,69,2.36,1.66
05/10/2025,US Open,Hard,5,Barros X.,Young V.,18,231,1.07,11.18
05/10/2025,US Open,Hard,5,Arden R.,Varga R.,12,210,1.1,8.45
05/10/2025,US Open,Hard,5,Mertens R.,Mertens W.,132,135,1.81,2.12
06/10/2025,US Open,Hard,5,Arden H.,Pires P.,9,156,1.12,7.65
06/10/2025,US Open,Hard,5,Xenos Z.,Young W.,228,234,1.63,2.43
06/10/2025,US Open,Hard,5,Rossi A.,Quist J.,168,162,3.31,1.38
06/10/2025,US Open,Hard,5,Jansen D.,Rossi Q.,93,177,1.5,2.79
06/10/2025,US Open,Hard,5,Cerny Q.,Varga D.,36,204,1.18,5.71
06/10/2025,US Open,Hard,5,Gomez U.,Mertens M.,69,126,1.47,2.91
06/10/2025,US Open,Hard,5,Mertens D.,Mertens O.,120,129,2.13,1.8
06/10/2025,US Open,Hard,5,Cerny G.,Mertens R.,30,132,1.25,4.46
06/10/2025,US Open,Hard,5,Stahl C.,Ostrov G.,180,150,2.83,1.49
06/10/2025,US Open,Hard,5,Laurent Q.,Mertens F.,108,123,1.92,1.99
06/10/2025,US Open,Hard,5,Eklund B.,Stahl F.,48,183,1.17,5.76
06/10/2025,US Open,Hard,5,Duval N.,Ionescu P.,45,90,1.47,2.89
07/10/2025,US Open,Hard,5,Tanner Y.,Mertens O.,198,129,3.38,1.37
07/10/2025,US Open,Hard,5,Falk U.,Rossi A.,60,168,1.22,4.84
07/10/2025,US Open,Hard,5,Rossi P.,Laurent Q.,174,108,2.89,1.47
07/10/2025,US Open,Hard,5,Laurent W.,Gomez X.,111,72,2.71,1.52
07/10/2025,US Open,Hard,5,Rossi N.,Eklund B.,171,48,4.51,1.24
07/10/2025,US Open,Hard,5,Mertens R.,Xenos Z.,132,228,1.12,7.64
07/10/2025,US Open,Hard,5,Dorn F.,Zeller P.,39,240,1.03,18.31
07/10/2025,US Open,Hard,5,Tanner V.,Young X.,192,237,1.22,4.85
07/10/2025,US Open,Hard,5,Mertens M.,Pires G.,126,153,1.57,2.58
07/10/2025,US Open,Hard,5,Cerny G.,Quist J.,30,162,1.26,4.35
07/10/2025,US Open,Hard,5,Mertens F.,Young W.,123,234,1.19,5.39
07/10/2025,US Open,Hard,5,Barros X.,Dorn R.,18,42,1.44,3.03
08/10/2025,US Open,Hard,5,Tanner A.,Falk N.,186,57,5.23,1.2
08/10/2025,US Open,Hard,5,Tanner V.,Young W.,192,234,1.24,4.61
08/10/2025,US Open,Hard,5,Stahl C.,Tanner N.,180,189,2.09,1.83
08/10/2025,US Open,Hard,5,Brook T.,Lindqvist D.,21,114,1.3,3.95
08/10/2025,US Open,Hard,5,Hale E.,Novak Z.,78,147,1.38,3.32
08/10/2025,US Open,Hard,5,Jansen O.,Mertens D.,96,120,1.84,2.07
08/10/2025,US Open,Hard,5,Cerny Q.,Mertens W.,36,135,1.3,3.88
08/10/2025,US Open,Hard,5,Mertens M.,Rossi A.,126,168,1.98,1.92
08/10/2025,US Open,Hard,5,Rossi N.,Rossi P.,171,174,2.39,1.65
08/10/2025,US Open,Hard,5,Barros J.,Ionescu P.,15,90,1.35,3.51
08/10/2025,US Open,Hard,5,Gomez U.,Xenos I.,69,219,1.13,7.01
08/10/2025,US Open,Hard,5,Quist J.,Jansen D.,162,93,2.58,1.57
08/10/2025,US Open,Hard,5,Mertens F.,Mertens O.,123,129,2.01,1.89
09/10/2025,US Open,Hard,5,Stahl F.,Rossi Q.,183,177,1.63,2.42
09/10/2025,US Open,Hard,5,Hale F.,Young X.,81,237,1.01,32.52
09/10/2025,US Open,Hard,5,Weiss F.,Nadeau L.,213,141,3.79,1.31
09/10/2025,US Open,Hard,5,Mertens R.,Lindqvist W.,132,117,1.87,2.04
09/10/2025,US Open,Hard,5,Novak Z.,Xenos Z.,147,228,1.2,5.31
09/10/2025,US Open,Hard,5,Varga R.,Young W.,210,234,1.2,5.2
09/10/2025,US Open,Hard,5,Zeller P.,Xenos I.,240,219,3.2,1.4
09/10/2025,US Open,Hard,5,Laurent W.,Varga G.,111,207,1.39,3.27
10/10/2025,US Open,Hard,5,Pires G.,Dorn R.,153,42,5.89,1.17
10/10/2025,US Open,Hard,5,Hale C.,Xenos U.,75,225,1.16,6.18
10/10/2025,US Open,Hard,5,Rossi Q.,Kovac M.,177,105,2.87,1.48
10/10/2025,US Open,Hard,5,Barros X.,Young X.,18,237,1.01,32.52
10/10/2025,US Open,Hard,5,Gomez X.,Lindqvist D.,72,114,1.55,2.62
10/10/2025,US Open,Hard,5,Cerny J.,Varga R.,33,210,1.11,7.83
10/10/2025,US Open,Hard,5,Dorn F.,Gomez Q.,39,66,1.39,3.3
10/10/2025,US Open,Hard,5,Castell K.,Quist J.,27,162,1.16,6.01
10/10/2025,US Open,Hard,5,Lindqvist W.,Xenos Z.,117,228,1.03,17.97
10/10/2025,US Open,Hard,5,Barros J.,Abbott E.,15,3,6.54,1.15
10/10/2025,US Open,Hard,5,Jansen D.,Stahl F.,93,183,1.35,3.55
10/10/2025,US Open,Hard,5,Mertens W.,Stahl C.,135,180,1.47,2.89
10/10/2025,US Open,Hard,5,Gomez H.,Weiss L.,63,216,1.21,5.09
10/10/2025,US Open,Hard,5,Ionescu P.,Ostrov G.,90,150,1.88,2.03
11/10/2025,US Open,Hard,5,Castell K.,Dorn R.,27,42,1.76,2.19
11/10/2025,US Open,Hard,5,Cerny J.,Nadeau L.,33,141,1.22,4.84
11/10/2025,US Open,Hard,5,Cerny G.,Stahl C.,30,180,1.06,12.3
11/10/2025,US Open,Hard,5,Jansen O.,Lindqvist W.,96,117,1.56,2.61
11/10/2025,US Open,Hard,5,Brook T.,Stahl F.,21,183,1.03,19.13
11/10/2025,US Open,Hard,5,Weiss L.,Falk N.,216,57,4.71,1.23
11/10/2025,US Open,Hard,5,Castell H.,Hale V.,24,84,1.22,4.93
11/10/2025,US Open,Hard,5,Cerny Q.,Varga D.,36,204,1.07,11.36
11/10/2025,US Open,Hard,5,Engel Y.,Mertens F.,54,123,1.4,3.2
11/10/2025,US Open,Hard,5,Tanner Y.,Pires G.,198,153,2.53,1.59
11/10/2025,US Open,Hard,5,Rossi N.,Pires V.,171,159,2.0,1.9
11/10/2025,US Open,Hard,5,Gomez U.,Xenos O.,69,222,1.12,7.73
11/10/2025,US Open,Hard,5,Ulrich Z.,Tanner A.,201,186,1.85,2.07
11/10/2025,US Open,Hard,5,Laurent Q.,Rossi P.,108,174,1.46,2.92
12/10/2025,US Open,Hard,5,Ostrov G.,Xenos U.,150,225,1.48,2.85
12/10/2025,US Open,Hard,5,Duval N.,Tanner V.,45,192,1.09,9.22
12/10/2025,US Open,Hard,5,Mertens D.,Nadeau L.,120,141,1.95,1.95
12/10/2025,US Open,Hard,5,Laurent Q.,Mertens O.,108,129,1.66,2.36
12/10/2025,US Open,Hard,5,Pires V.,Weiss F.,159,213,1.56,2.61
12/10/2025,US Open,Hard,5,Hale V.,Weiss L.,84,216,1.07,10.8
12/10/2025,US Open,Hard,5,Abbott E.,Laurent W.,3,111,1.12,7.61
12/10/2025,US Open,Hard,5,Varga R.,Novak H.,210,144,3.59,1.34
12/10/2025,US Open,Hard,5,Barros X.,Mertens R.,18,132,1.15,6.43
12/10/2025,US Open,Hard,5,Barros J.,Stahl F.,15,183,1.13,7.17
13/10/2025,US Open,Hard,5,Falk N.,Novak H.,57,144,1.53,2.7
13/10/2025,US Open,Hard,5,Laurent W.,Ulrich Z.,111,201,1.16,6.05
13/10/2025,US Open,Hard,5,Falk U.,Young X.,60,237,1.05,14.61
13/10/2025,US Open,Hard,5,Rossi N.,Lindqvist W.,171,117,2.17,1.77
13/10/2025,US Open,Hard,5,Eklund M.,Young W.,51,234,1.11,7.99
13/10/2025,US Open,Hard,5,Laurent Q.,Jovic F.,108,99,2.03,1.88
13/10/2025,US Open,Hard,5,Hale C.,Kovac M.,75,105,1.89,2.01
13/10/2025,US Open,Hard,5,Tanner N.,Rossi A.,189,168,3.13,1.42
13/10/2025,US Open,Hard,5,Cerny J.,Tanner V.,33,192,1.18,5.65
13/10/2025,US Open,Hard,5,Dorn F.,Tanner A.,39,186,1.18,5.71
13/10/2025,US Open,Hard,5,Varga G.,Pires G.,207,153,4.59,1.24
13/10/2025,US Open,Hard,5,Ostrov G.,Weiss F.,150,213,1.45,2.98
13/10/2025,US Open,Hard,5,Jansen D.,Varga R.,93,210,1.34,3.61
14/10/2025,US Open,Hard,5,Pires V.,Xenos Z.,159,228,1.08,10.04
14/10/2025,US Open,Hard,5,Eklund B.,Rossi A.,48,168,1.12,7.44
14/10/2025,US Open,Hard,5,Hale E.,Lindqvist D.,78,114,1.63,2.42
14/10/2025,US Open,Hard,5,Dorn R.,Xenos U.,42,225,1.12,7.39
14/10/2025,US Open,Hard,5,Gomez X.,Laurent Q.,72,108,1.52,2.72
14/10/2025,US Open,Hard,5,Xenos O.,Castell H.,222,24,28.07,1.01
14/10/2025,US Open,Hard,5,Hale F.,Tanner W.,81,195,1.17,5.82
14/10/2025,US Open,Hard,5,Ionescu P.,Tanner N.,90,189,1.55,2.63
14/10/2025,US Open,Hard,5,Hale C.,Gomez H.,75,63,2.2,1.75
14/10/2025,US Open,Hard,5,Duval N.,Gomez U.,45,69,1.5,2.8
14/10/2025,US Open,Hard,5,Falk U.,Rossi Q.,60,177,1.25,4.49
14/10/2025,US Open,Hard,5,Stahl F.,Young X.,183,237,1.12,7.51
15/10/2025,US Open,Hard,5,Arden R.,Engel Y.,12,54,1.51,2.74
15/10/2025,US Open,Hard,5,Brook T.,Quist J.,21,162,1.2,5.13
15/10/2025,US Open,Hard,5,Castell H.,Abbott E.,24,3,6.35,1.15
15/10/2025,US Open,Hard,5,Varga D.,Stahl C.,204,180,2.07,1.84
15/10/2025,US Open,Hard,5,Ionescu P.,Young W.,90,234,1.11,8.31
15/10/2025,US Open,Hard,5,Pires P.,Xenos U.,156,225,1.25,4.46
15/10/2025,US Open,Hard,5,Hale V.,Ostrov G.,84,150,1.46,2.93
15/10/2025,US Open,Hard,5,Mertens F.,Tanner Y.,123,198,1.5,2.79
15/10/2025,US Open,Hard,5,Eklund M.,Ulrich Z.,51,201,1.22,4.89
15/10/2025,US Open,Hard,5,Falk N.,Kovac M.,57,105,1.66,2.37
16/10/2025,US Open,Hard,5,Stahl F.,Jansen D.,183,93,4.28,1.26
16/10/2025,US Open,Hard,5,Dorn F.,Gomez H.,39,63,1.53,2.7
16/10/2025,US Open,Hard,5,Falk N.,Rossi Q.,57,177,1.14,6.78
16/10/2025,US Open,Hard,5,Lindqvist W.,Weiss L.,117,216,1.25,4.42
16/10/2025,US Open,Hard,5,Mertens D.,Laurent Q.,120,108,1.82,2.1
16/10/2025,US Open,Hard,5,Ionescu P.,Dorn R.,90,42,4.52,1.24
16/10/2025,US Open,Hard,5,Weiss F.,Tanner N.,213,189,2.41,1.64
16/10/2025,US Open,Hard,5,Arden H.,Mertens O.,9,129,1.18,5.63
16/10/2025,US Open,Hard,5,Laurent W.,Zeller P.,111,240,1.07,10.56
16/10/2025,US Open,Hard,5,Keller A.,Rossi A.,102,168,1.42,3.14
16/10/2025,US Open,Hard,5,Nadeau A.,Jovic F.,138,99,1.91,2.0
16/10/2025,US Open,Hard,5,Barros J.,Varga R.,15,210,1.08,9.69
16/10/2025,US Open,Hard,5,Mertens F.,Xenos Z.,123,228,1.1,8.58
17/10/2025,US Open,Hard,5,Weiss L.,Ionescu P.,216,90,4.67,1.23
17/10/2025,US Open,Hard,5,Weiss F.,Young W.,213,234,1.49,2.84
17/10/2025,US Open,Hard,5,Novak Z.,Mertens D.,147,120,2.0,1.9
17/10/2025,US Open,Hard,5,Castell H.,Young X.,24,237,1.06,12.52
17/10/2025,US Open,Hard,5,Eklund M.,Pires V.,51,159,1.21,4.99
17/10/2025,US Open,Hard,5,Dorn R.,Lindqvist W.,42,117,1.33,3.66
17/10/2025,US Open,Hard,5,Mertens M.,Tanner N.,126,189,1.56,2.62
17/10/2025,US Open,Hard,5,Tanner W.,Stahl F.,195,183,2.16,1.78
18/10/2025,US Open,Hard,5,Mertens R.,Rossi N.,132,171,1.86,2.05
18/10/2025,US Open,Hard,5,Cerny Q.,Rossi P.,36,174,1.18,5.54
18/10/2025,US Open,Hard,5,Arden R.,Pires G.,12,153,1.15,6.43
18/10/2025,US Open,Hard,5,Lindqvist W.,Pires P.,117,156,1.62,2.45
18/10/2025,US Open,Hard,5,Tanner W.,Rossi A.,195,168,2.7,1.53
18/10/2025,US Open,Hard,5,Varga R.,Zeller P.,210,240,1.24,4.53
18/10/2025,US Open,Hard,5,Varga D.,Mertens M.,204,126,4.17,1.27
18/10/2025,US Open,Hard,5,Jovic F.,Young X.,99,237,1.07,11.3
18/10/2025,US Open,Hard,5,Jansen D.,Ulrich Z.,93,201,1.21,5.02
18/10/2025,US Open,Hard,5,Abbott E.,Tanner V.,3,192,1.09,9.56
18/10/2025,US Open,Hard,5,Weiss L.,Quist Z.,216,165,2.9,1.47
18/10/2025,US Open,Hard,5,Mertens O.,Tanner Y.,129,198,1.62,2.46
19/10/2025,US Open,Hard,5,Gomez U.,Varga R.,69,210,1.17,5.82
19/10/2025,US Open,Hard,5,Mertens W.,Rossi N.,135,171,1.48,2.86
19/10/2025,US Open,Hard,5,Weiss F.,Rossi P.,213,174,2.33,1.68
19/10/2025,US Open,Hard,5,Jovic F.,Stahl F.,99,183,1.32,3.77
19/10/2025,US Open,Hard,5,Jansen D.,Xenos I.,93,219,1.09,9.08
19/10/2025,US Open,Hard,5,Falk U.,Tanner V.,60,192,1.27,4.24
19/10/2025,US Open,Hard,5,Nadeau A.,Engel Y.,138,54,3.2,1.4
19/10/2025,US Open,Hard,5,Arden H.,Rossi Q.,9,177,1.03,18.62
20/10/2025,US Open,Hard,5,Dorn F.,Quist Z.,39,165,1.21,4.99
20/10/2025,US Open,Hard,5,Xenos O.,Varga D.,222,204,2.82,1.49
20/10/2025,US Open,Hard,5,Barros J.,Ionescu P.,15,90,1.23,4.73
20/10/2025,US Open,Hard,5,Jovic F.,Tanner V.,99,192,1.29,4.03
20/10/2025,US Open,Hard,5,Gomez U.,Young X.,69,237,1.13,7.3
20/10/2025,US Open,Hard,5,Holm N.,Nadeau A.,87,138,1.65,2.39
20/10/2025,US Open,Hard,5,Gomez H.,Weiss L.,63,216,1.01,32.52
20/10/2025,US Open,Hard,5,Arden R.,Lindqvist D.,12,114,1.24,4.58
20/10/2025,US Open,Hard,5,Stahl F.,Young W.,183,234,1.33,3.66
20/10/2025,US Open,Hard,5,Jansen D.,Ostrov G.,93,150,1.27,4.21
20/10/2025,US Open,Hard,5,Hale E.,Weiss F.,78,213,1.05,13.62
20/10/2025,US Open,Hard,5,Mertens R.,Quist J.,132,162,1.69,2.31
21/10/2025,US Open,Hard,5,Eklund B.,Weiss F.,48,213,1.03,17.21
21/10/2025,US Open,Hard,5,Quist Z.,Xenos U.,165,225,1.14,6.67
21/10/2025,US Open,Hard,5,Mertens M.,Castell K.,126,27,4.6,1.24
21/10/2025,US Open,Hard,5,Brook T.,Nadeau L.,21,141,1.2,5.2
21/10/2025,US Open,Hard,5,Arden H.,Stahl C.,9,180,1.09,9.6
21/10/2025,US Open,Hard,5,Mertens D.,Gomez U.,120,69,2.18,1.76
21/10/2025,US Open,Hard,5,Young W.,Rossi A.,234,168,5.54,1.18
21/10/2025,US Open,Hard,5,Young X.,Ulrich Z.,237,201,2.69,1.53
21/10/2025,US Open,Hard,5,Tanner V.,Pires V.,192,159,2.16,1.78
21/10/2025,US Open,Hard,5,Cerny G.,Varga G.,30,207,1.01,32.52
21/10/2025,US Open,Hard,5,Hale C.,Laurent W.,75,111,1.67,2.35
21/10/2025,US Open,Hard,5,Novak Z.,Varga D.,147,204,1.21,4.96
22/10/2025,US Open,Hard,5,Laurent Q.,Nadeau A.,108,138,1.44,3.03
22/10/2025,US Open,Hard,5,Barros J.,Arden H.,15,9,1.85,2.06
22/10/2025,US Open,Hard,5,Gomez U.,Laurent W.,69,111,1.75,2.2
22/10/2025,US Open,Hard,5,Hale F.,Pires V.,81,159,1.54,2.66
22/10/2025,US Open,Hard,5,Quist Z.,Young X.,165,237,1.33,3.69
22/10/2025,US Open,Hard,5,Holm N.,Gomez Q.,87,66,3.58,1.34
22/10/2025,US Open,Hard,5,Lindqvist D.,Tanner Y.,114,198,1.26,4.36
22/10/2025,US Open,Hard,5,Rossi N.,Jansen D.,171,93,2.49,1.6
22/10/2025,US Open,Hard,5,Abbott K.,Weiss L.,6,216,1.05,14.24
22/10/2025,US Open,Hard,5,Falk U.,Jovic F.,60,99,1.58,2.56
22/10/2025,US Open,Hard,5,Quist J.,Rossi A.,162,168,1.96,1.94
22/10/2025,US Open,Hard,5,Tanner A.,Keller A.,186,102,3.5,1.35
22/10/2025,US Open,Hard,5,Tanner N.,Lindqvist W.,189,117,2.89,1.47
22/10/2025,US Open,Hard,5,Pires P.,Tanner W.,156,195,1.45,2.97
23/10/2025,US Open,Hard,5,Abbott E.,Xenos Z.,3,228,1.01,32.52
23/10/2025,US Open,Hard,5,Laurent W.,Kovac M.,111,105,2.21,1.75
23/10/2025,US Open,Hard,5,Cerny Q.,Mertens R.,36,132,1.34,3.6
23/10/2025,US Open,Hard,5,Gomez H.,Young V.,63,231,1.02,20.97
23/10/2025,US Open,Hard,5,Quist Z.,Young W.,165,234,1.18,5.53
23/10/2025,US Open,Hard,5,Gomez Q.,Falk N.,66,57,2.01,1.9
23/10/2025,US Open,Hard,5,Hale E.,Stahl F.,78,183,1.27,4.18
23/10/2025,US Open,Hard,5,Ulrich Z.,Mertens O.,201,129,4.25,1.27
23/10/2025,US Open,Hard,5,Jovic F.,Lindqvist W.,99,117,1.96,1.94
23/10/2025,US Open,Hard,5,Ostrov G.,Mertens F.,150,123,2.47,1.61
24/10/2025,US Open,Hard,5,Engel Y.,Tanner N.,54,189,1.02,24.05
24/10/2025,US Open,Hard,5,Stahl C.,Castell K.,180,27,7.48,1.12
24/10/2025,US Open,Hard,5,Hale C.,Xenos I.,75,219,1.21,5.09
24/10/2025,US Open,Hard,5,Varga D.,Tanner A.,204,186,2.76,1.51
24/10/2025,US Open,Hard,5,Mertens R.,Ostrov G.,132,150,1.83,2.08
